BW,EST1
627151,11.347222
4392,2.197346
366767,7.707540
7316,2.515485
4307,2.203222
64,5.000000
4417,2.488842
346320,13.169444
374714,10.860489
42605,3.877750
433632,14.227778
3949,2.534160
65064,4.762537
114299,6.133071
102415,5.778876
21865,3.721852
28177,3.852130
13776,10.312222
42819,4.962862
495503,7.778849
227328,15.050000
999063,11.155000
29323,3.777295
213502,6.974341
16613,3.539935
84349,4.942528
120192,11.319444
26212,4.429093
767884,9.935873
6875,2.446259
38554,4.079695
779119,7.459008
351673,10.186984
5613,2.601461
25885,3.225881
7502,2.614734
18031,3.625117
22997,3.502199
17108,2.948817
12682,3.216233
319495,10.779286
399859,10.511984
200,6.333333
695637,10.914762
305489,8.832540
239282,7.989484
110560,4.707685
101755,5.007992
128,6.000000
8018,2.496389
12288,12.100000
30543,3.744130
79589,5.509456
248832,14.688889
452034,8.984378
8293,2.770885
1125424,13.281429
1770152,13.240556
379279,7.628824
8864,2.815407
326357,7.328373
4698,2.443311
105729,4.891560
75201,4.768446
101207,4.922950
30720,12.494444
10873,2.414985
10880,2.793101
3429,2.006963
100239,5.505924
14744,2.847709
495125,8.729788
164731,6.233469
361472,15.498333
7537,3.012756
429168,10.979683
328914,9.803651
90782,5.021366
22148,3.877903
829142,10.825000
572273,12.991667
331589,8.082394
79474,5.113651
75198,4.620743
28761,3.591179
7113,2.514311
4597,2.371028
11148,2.656711
15770,2.995936
314552,10.238889
522570,10.058783
26090,3.780820
1706304,13.383968
29758,3.611943
192332,6.488452
5877,2.562664
646806,10.644921
29888,4.122636
13170,2.809640
196679,7.323730
70625,4.841832
65035,4.952832
13910,3.505310
98324,4.911473
5236,2.824408
228028,7.307698
171123,6.186403
12550,3.119477
11475,3.182543
70143,4.950589
245378,8.712183
270468,11.355873
300772,11.122222
4794,2.074183
19407,3.153356
58888,4.928916
40585,3.822032
46787,3.722384
21168,3.663561
57814,5.090279
97040,5.312278
152702,5.688626
4496,2.365883
37776,3.557207
4727,2.436863
15872,11.347222
3164,2.095260
181792,7.091931
124729,5.989829
70439,5.544394
73656,5.016522
5750,2.688468
52418,4.465770
7116,2.778773
122436,9.278889
71293,5.438957
37147,4.116421
17087,3.049520
196480,10.203333
5454,2.225327
6967,2.614047
4630,2.299727
162633,11.060714
5316,2.269507
746692,10.055556
683554,8.387222
102132,5.071521
248651,8.244114
237132,6.794643
151566,8.166111
439208,8.118095
293808,6.965833
139300,7.886640
3990,2.542999
425506,9.292937
183544,7.398995
20459,3.710747
420615,9.719788
47358,4.849452
508858,8.886733
1377280,13.846667
274165,7.378862
30008,3.695160
25249,3.453188
524172,10.088452
56516,4.557920
196450,8.242050
121702,5.856786
519937,7.935384
149245,6.109114
6156,2.472889
132751,5.659775
1087776,15.194444
10899,3.009172
18010,3.199206
5321,2.457577
9736,3.023322
10163,2.516182
22509,3.267859
772593,11.008730
313326,9.500159
100726,4.574128
4505,2.105863
46506,4.527341
44143,4.360388
629742,11.929444
601861,10.974802
578254,8.763452
5250,2.225636
6464,2.693944
208183,11.752778
18855,3.348841
312338,9.285952
4096,10.500000
215610,6.063338
12549,3.170039
75686,5.240028
31104,11.750000
37074,3.955739
9105,2.539500
520105,9.197817
78009,4.401210
15614,2.951372
5569,2.590738
46656,12.177778
85008,11.975000
9441,3.034174
9165,2.795626
147747,6.482712
219037,6.835608
18649,3.194542
10269,2.931848
76500,5.185878
33174,3.756219
309996,9.345873
636046,11.800556
31750,3.592438
228098,8.479210
37596,3.883200
75652,4.376797
110340,5.535492
72436,4.570085
114367,5.372827
7040,2.136465
65047,5.076710
62144,11.700556
125968,5.480185
141810,5.289353
53712,10.597937
3330,2.340103
6238,2.486331
154430,6.484220
224946,7.864405
9217,2.662235
466629,9.657579
6264,2.642001
448693,11.468889
165822,6.560450
157930,5.656277
43308,4.293939
8764,2.886240
3318,2.158119
32280,3.761768
590320,12.211667
198250,6.915754
34387,3.856836
43440,4.479378
179576,11.733333
14695,3.314508
896310,9.973889
85511,5.475570
384053,10.169603
5184,9.677778
386634,12.255000
66469,4.418227
18836,2.828910
8194,3.258514
4108,2.373839
4918,2.563850
175606,6.395661
229984,7.010648
276653,7.788492
332755,7.863175
978705,11.423889
323679,7.186746
42429,4.137579
30652,3.892785
6798,2.640607
1683521,10.992103
23021,3.474664
52610,4.158196
18357,3.248317
9797,2.844275
45496,3.596837
10645,3.271288
234876,9.213651
7631,2.591212
24573,3.262291
5305,2.866015
18459,3.194084
209861,7.491640
236123,6.791364
182471,6.087793
640,8.700000
100800,11.783333
52416,11.240556
228384,12.280556
298368,7.546892
160293,6.716366
2365912,13.326111
31830,3.469482
4352,2.307348
32,4.500000
229399,5.622464
119095,5.017119
373968,7.518770
5458,2.430853
44615,4.182996
10369,2.691366
7211,2.744081
73330,5.127186
4441,2.647045
22436,3.077205
6352,2.772248
9324,3.034440
3170,1.986348
1098753,10.409048
28620,3.688153
13438,2.982791
4134,2.424115
29781,3.784477
69179,6.000794
8479,2.410475
392128,13.883333
11837,3.481038
24107,4.087671
470695,7.638783
83717,6.423000
2760,2.221545
151734,5.543981
6417,2.128938
5899,2.200065
7596,2.834280
292058,7.139127
4610,2.245831
662551,9.781111
4900,2.630885
29952,13.533333
40192,11.473889
22513,3.657412
46262,4.366793
22427,3.687432
436464,8.168069
244295,7.724974
254123,7.840847
9685,2.579425
101299,5.888942
31290,3.585916
310450,7.829643
7881,2.968131
145296,6.594048
17390,2.971640
52370,4.443940
22363,3.793809
161142,5.863624
482840,9.366111
232251,8.788413
100332,10.557222
7878,2.813253
4983,2.364256
24138,3.514349
334676,10.590000
7888,2.695757
4711,2.640046
12443,3.420713
19615,3.630900
8229,2.840207
24447,3.804927
14508,3.266871
370462,9.090000
4709,2.379704
694080,12.976111
31899,3.849746
10427,2.597774
63603,4.891552
21791,3.318251
17025,3.099965
7270,2.350720
6491,2.454246
23185,3.402045
28301,3.402600
88496,12.032222
38983,4.321927
34441,3.471920
5940,2.682613
8640,10.225000
4305,2.173828
35117,4.117252
386303,9.396746
1257683,12.172778
408507,10.723968
42681,4.322895
519655,9.318413
10021,3.087455
336595,11.175000
14352,2.960632
130551,6.880265
11328,3.109545
150254,6.320266
28704,10.142222
185196,6.643069
1286875,10.156270
271154,7.382804
3995,2.628263
48928,11.283333
14098,3.354377
192,6.600000
191796,12.069444
379396,12.341111
512,8.333333
4425,2.250320
179306,9.113968
57872,4.648424
114993,6.038389
7465,3.153047
179813,6.182321
32589,4.090473
49657,4.923508
747666,10.362817
270151,6.669444
873204,11.172222
128479,6.697594
640,8.016667
672572,9.268730
13431,2.922643
64145,4.220018
4480,10.738889
188558,6.948673
43944,3.615496
128,6.500000
265492,6.557751
44194,4.994569
1218700,12.972222
6219,2.336537
12212,2.781460
34706,3.985021
6118,2.381603
12628,2.931127
53857,4.574539
193302,5.825675
256134,6.620489
47420,4.357389
101952,12.188889
143182,8.760317
64,6.000000
8081,2.541792
23869,3.936381
66088,4.610138
250135,10.504365
18464,3.224291
45194,3.891842
5928,2.547787
4627,2.572087
70326,4.576349
193139,6.699856
2240640,16.563889
219218,7.350940
401981,7.853413
161046,5.404115
26352,4.374941
6416,2.402149
9831,3.225405
252976,11.216667
82377,4.900449
4461,2.218078
427584,12.471667
37097,3.880016
14501,3.060999
1238623,10.217381
13118,3.214263
226868,6.340666
6104,2.803687
28319,3.896667
59538,4.341486
111962,5.279802
313686,8.827103
3332,2.162495
5376,10.850000
259912,13.728333
27307,3.478917
155392,12.733333
255650,10.451667
82972,10.003333
51639,4.061617
418473,10.636667
174920,5.921088
227372,7.219934
7322,2.449082
695968,11.861111
144,6.250000
252633,7.631614
57494,5.738029
49201,4.675396
17492,3.076922
16421,3.083534
149369,7.294444
60627,5.744068
39822,4.090864
46044,3.941851
266274,7.393188
52975,4.453302
9704,9.486111
1027710,11.868095
40863,3.891401
667444,13.710556
18047,3.045047
16378,3.356445
149741,6.269339
41329,3.900535
8532,3.081107
4087,2.332630
30310,3.520992
400936,6.402963
9461,2.887045
6656,9.586667
82597,5.505345
7607,2.625675
74326,4.447676
23823,3.745320
7006,2.712180
3746,2.298375
357164,7.548915
315616,6.757659
86833,5.309685
1920,10.477778
47939,4.378977
28072,3.984907
55182,4.127541
377717,9.625000
4861,2.284441
1328592,13.566667
48312,11.098889
18166,3.651330
73892,5.148120
15568,3.502085
1211060,11.872857
72635,4.664710
354668,7.996230
132961,5.868532
8217,2.965333
314964,6.743347
38496,3.957541
12187,2.941866
258543,8.390503
159849,6.333705
109049,4.773353
87488,5.236435
265188,13.344444
6525,2.114773
264975,6.184723
85476,4.898716
283192,8.756812
30028,3.974419
4132,2.443449
3541,2.354218
159598,7.210717
10368,10.319444
144839,5.688042
61920,11.558333
38824,4.561625
512,9.000000
91863,5.676021
26752,10.061111
507515,8.778492
34531,3.799470
969814,10.038968
83635,4.472764
8427,2.820193
106780,5.975727
501678,8.023849
15661,3.465969
52228,4.474452
62868,4.714632
517468,9.036389
241920,11.923333
327440,12.166111
57354,4.120185
142840,5.700427
4325,2.045910
516311,9.587302
159982,7.005492
5980,2.696819
5178,2.715896
29762,3.988475
15782,3.479802
426004,11.528889
15006,2.721837
24499,3.695641
327056,8.538995
568031,11.781667
42697,3.530109
18348,3.067539
16961,2.965501
238452,11.582778
25618,3.872511
264163,6.783717
5432,2.101241
1673180,12.682778
3835,2.114939
6774,2.532868
7335,2.494336
46447,3.656666
810232,12.376111
90798,4.628440
37734,3.624744
25293,3.865189
107314,5.576667
24453,3.847855
25224,3.625032
379528,9.181190
74592,11.777778
