Vertices,Edges,Edge probability,2^boolwidth,est min,est avg,est max
60,670,0.746777,316,0.170455,1.193314,2.243478
60,480,0.520609,2636,0.876923,2.378584,4.219298
60,484,0.544819,2851,0.383824,2.234594,4.414286
60,323,0.362733,22659,1.609524,3.670173,6.555556
60,543,0.601339,1340,0.419935,1.680244,3.214286
60,457,0.495446,3653,0.676190,2.202662,4.404762
60,700,0.765993,228,0.186335,1.207743,3.293478
60,262,0.327025,46480,2.125000,4.496299,8.090909
60,569,0.612040,1003,0.412500,1.701252,3.719298
60,681,0.783701,290,0.158730,1.215256,2.243478
60,231,0.289938,104762,2.316667,5.120918,9.090909
60,443,0.491646,4739,0.876190,2.830691,5.529762
60,602,0.673921,712,0.398413,1.418433,3.166667
60,718,0.792460,185,0.208333,0.920619,2.538462
60,617,0.681625,549,0.208333,1.463335,3.293478
60,612,0.682429,631,0.158730,1.425719,3.535014
60,596,0.676948,702,0.158730,1.243729,3.192857
60,588,0.660292,812,0.158730,1.493192,3.375000
60,662,0.721737,373,0.158730,0.945232,3.037037
60,371,0.405741,10699,1.235354,2.914571,5.682540
60,313,0.366755,29049,2.249242,4.167552,6.069444
60,668,0.746833,340,0.150000,1.163083,3.037037
60,621,0.670661,550,0.143541,1.449922,2.876812
60,525,0.598381,1630,0.430556,1.785371,3.633333
60,276,0.320251,45891,1.574242,3.650576,5.861111
60,393,0.439425,9066,0.905357,2.822597,5.444444
60,256,0.268642,68328,2.211111,4.228837,6.450000
60,606,0.654265,667,0.186335,1.476151,4.247619
60,532,0.592119,1489,0.412500,1.634792,3.683824
60,424,0.481216,5946,1.266667,2.988930,5.691667
60,402,0.432324,7739,0.775000,2.839869,5.416667
60,288,0.323257,43443,2.083333,4.152071,6.241667
60,682,0.788812,268,0.419935,1.242942,3.041667
60,703,0.786655,217,0.186335,1.148716,2.291667
60,421,0.467869,5295,0.602020,2.492883,4.671429
60,412,0.473342,7329,1.161111,2.581721,4.535354
60,328,0.395996,21317,0.765873,3.277685,5.007576
60,452,0.490598,3838,0.412500,1.855829,4.369048
60,585,0.649535,877,0.500000,1.720611,3.504762
60,548,0.622053,1285,0.368347,1.768919,4.195489
60,294,0.323473,34230,2.055556,3.936350,6.450000
60,696,0.776258,238,0.170455,1.009543,2.291667
